time,open,high,low,close,volume
2025-09-20 00:30:00+05:30,115378.0,115445.5,115241.0,115254.5,70508
2025-09-20 00:45:00+05:30,115254.5,115364.0,115241.5,115317.5,23035
2025-09-20 01:00:00+05:30,115317.5,115367.0,115151.5,115152.5,45748
2025-09-20 01:15:00+05:30,115152.5,115172.0,115068.5,115091.0,48336
2025-09-20 01:30:00+05:30,115086.5,115303.5,115061.0,115275.0,24102
2025-09-20 01:45:00+05:30,115275.0,115393.0,115250.5,115358.0,24793
2025-09-20 02:00:00+05:30,115358.0,115394.0,115265.5,115376.5,10636
2025-09-20 02:15:00+05:30,115375.5,115406.0,115242.0,115319.0,13211
2025-09-20 02:30:00+05:30,115330.0,115404.5,115266.5,115355.5,7878
2025-09-20 02:45:00+05:30,115355.5,115420.5,115354.0,115382.0,7834
2025-09-20 03:00:00+05:30,115381.0,115446.5,115381.0,115427.0,10375
2025-09-20 03:15:00+05:30,115428.0,115507.0,115387.5,115423.5,10772
2025-09-20 03:30:00+05:30,115423.5,115575.0,115423.5,115567.0,10623
2025-09-20 03:45:00+05:30,115567.0,115576.5,115500.0,115541.5,7402
2025-09-20 04:00:00+05:30,115551.0,115581.0,115537.0,115543.5,4559
2025-09-20 04:15:00+05:30,115532.0,115609.0,115532.0,115562.5,11781
2025-09-20 04:30:00+05:30,115562.0,115562.5,115443.0,115455.5,8272
2025-09-20 04:45:00+05:30,115469.0,115497.5,115406.0,115418.5,6725
2025-09-20 05:00:00+05:30,115417.5,115506.0,115406.0,115476.0,4582
2025-09-20 05:15:00+05:30,115477.0,115612.0,115476.0,115582.0,6110
2025-09-20 05:30:00+05:30,115582.0,115616.0,115543.5,115570.0,9063
2025-09-20 05:45:00+05:30,115570.0,115570.0,115496.0,115511.5,7002
2025-09-20 06:00:00+05:30,115510.5,115650.5,115510.5,115650.5,10928
2025-09-20 06:15:00+05:30,115650.5,115682.0,115623.5,115667.5,15238
2025-09-20 06:30:00+05:30,115668.5,115672.5,115569.5,115569.5,9650
2025-09-20 06:45:00+05:30,115566.5,115669.5,115560.5,115648.5,9649
2025-09-20 07:00:00+05:30,115648.5,115662.0,115578.5,115625.5,10297
2025-09-20 07:15:00+05:30,115625.5,115648.5,115574.0,115574.0,11129
2025-09-20 07:30:00+05:30,115574.0,115574.0,115438.5,115453.5,22897
2025-09-20 07:45:00+05:30,115453.5,115491.0,115382.0,115486.0,17708
2025-09-20 08:00:00+05:30,115487.0,115519.5,115449.0,115519.5,12846
2025-09-20 08:15:00+05:30,115519.0,115567.5,115507.0,115556.5,7652
2025-09-20 08:30:00+05:30,115556.5,115557.5,115417.5,115450.0,14084
2025-09-20 08:45:00+05:30,115449.0,115504.0,115449.0,115466.5,10386
2025-09-20 09:00:00+05:30,115466.5,115467.0,115418.5,115463.0,7473
2025-09-20 09:15:00+05:30,115463.0,115464.0,115366.0,115405.5,17154
2025-09-20 09:30:00+05:30,115405.5,115449.5,115383.0,115438.5,11021
2025-09-20 09:45:00+05:30,115438.5,115460.5,115412.0,115412.5,6922
2025-09-20 10:00:00+05:30,115412.5,115508.5,115354.5,115505.0,25554
2025-09-20 10:15:00+05:30,115505.0,115539.5,115495.5,115524.0,15641
2025-09-20 10:30:00+05:30,115524.0,115541.5,115471.0,115536.5,11609
2025-09-20 10:45:00+05:30,115536.5,115568.5,115535.5,115568.5,12090
2025-09-20 11:00:00+05:30,115567.5,115623.0,115567.5,115595.0,26193
2025-09-20 11:15:00+05:30,115595.0,115668.0,115595.0,115667.5,22078
2025-09-20 11:30:00+05:30,115667.5,115667.5,115582.5,115582.5,24016
2025-09-20 11:45:00+05:30,115582.5,115636.0,115582.5,115635.5,12470
2025-09-20 12:00:00+05:30,115635.0,115642.0,115627.5,115628.0,11193
2025-09-20 12:15:00+05:30,115629.0,115678.5,115628.0,115654.5,17126
2025-09-20 12:30:00+05:30,115654.5,115677.0,115635.5,115635.5,20812
2025-09-20 12:45:00+05:30,115636.5,115697.5,115635.5,115697.5,21735
2025-09-20 13:00:00+05:30,115697.0,115888.5,115684.0,115881.0,72439
2025-09-20 13:15:00+05:30,115881.0,115945.0,115829.0,115921.0,48766
2025-09-20 13:30:00+05:30,115922.0,115926.5,115785.0,115809.5,38977
2025-09-20 13:45:00+05:30,115809.5,115810.5,115772.5,115772.5,18098
2025-09-20 14:00:00+05:30,115773.5,115843.0,115772.5,115843.0,18611
2025-09-20 14:15:00+05:30,115843.0,115843.0,115649.0,115656.5,37733
2025-09-20 14:30:00+05:30,115657.5,115746.0,115650.0,115746.0,24180
2025-09-20 14:45:00+05:30,115746.0,115756.0,115701.0,115707.0,16102
2025-09-20 15:00:00+05:30,115707.0,115708.0,115617.5,115621.5,36203
2025-09-20 15:15:00+05:30,115622.5,115646.5,115616.5,115617.0,17270
2025-09-20 15:30:00+05:30,115617.5,115721.5,115617.0,115706.0,19331
2025-09-20 15:45:00+05:30,115706.0,115746.0,115651.5,115687.5,19355
2025-09-20 16:00:00+05:30,115687.5,115740.0,115671.0,115735.0,10850
2025-09-20 16:15:00+05:30,115735.0,115751.5,115695.0,115700.5,13976
2025-09-20 16:30:00+05:30,115699.5,115796.5,115699.5,115795.5,16689
2025-09-20 16:45:00+05:30,115796.5,115812.0,115727.0,115727.0,16322
2025-09-20 17:00:00+05:30,115727.0,115786.0,115727.0,115768.5,10137
2025-09-20 17:15:00+05:30,115767.5,115869.5,115767.5,115847.0,21331
2025-09-20 17:30:00+05:30,115847.0,115912.5,115847.0,115868.0,35436
2025-09-20 17:45:00+05:30,115868.0,115896.0,115775.0,115775.0,21477
2025-09-20 18:00:00+05:30,115775.0,115802.0,115761.5,115798.0,13598
2025-09-20 18:15:00+05:30,115800.0,115832.5,115800.0,115832.5,7824
2025-09-20 18:30:00+05:30,115832.0,115854.0,115805.0,115853.5,13546
2025-09-20 18:45:00+05:30,115853.0,115873.5,115852.5,115864.5,8149
