time,open,high,low,close,volume,MA_3,MA_6,MA_9,RSI
2025-09-12 23:45:00+05:30,115970.0,116167.5,115966.0,116147.0,107568,,,,
2025-09-13 00:00:00+05:30,116147.0,116434.0,116147.0,116424.0,197864,,,,100.0
2025-09-13 00:15:00+05:30,116424.0,116454.0,116281.5,116436.0,69558,116335.66666666667,,,100.0
2025-09-13 00:30:00+05:30,116436.0,116444.0,116271.0,116278.5,42129,116379.5,,,90.88717454194793
2025-09-13 00:45:00+05:30,116278.5,116492.0,116190.5,116469.5,71074,116394.66666666667,,,91.91776315789474
2025-09-13 01:00:00+05:30,116469.5,116492.0,116350.5,116406.5,35971,116384.83333333333,116360.25,,88.12474224303146
2025-09-13 01:15:00+05:30,116404.0,116612.0,116367.0,116585.5,58267,116487.16666666667,116433.33333333333,,89.53983444231123
2025-09-13 01:30:00+05:30,116563.0,116563.0,116110.0,116179.0,63337,116390.33333333333,116392.5,,68.23402239958745
2025-09-13 01:45:00+05:30,116167.5,116167.5,115919.0,115982.0,69199,116248.83333333333,116316.83333333333,116323.11111111111,60.22121179456121
2025-09-13 02:00:00+05:30,115982.0,116199.0,115982.0,116142.0,25075,116101.0,116294.08333333333,116322.55555555556,64.16483141859943
2025-09-13 02:15:00+05:30,116142.0,116320.0,116079.0,116099.5,33126,116074.5,116232.41666666667,116286.5,62.27267157184724
2025-09-13 02:30:00+05:30,116097.0,116097.0,115863.5,116050.0,44518,116097.16666666667,116173.0,116243.61111111111,59.89887443435977
2025-09-13 02:45:00+05:30,116057.0,116072.0,115902.5,115929.5,12404,116026.33333333333,116063.66666666667,116204.83333333333,54.10567260781334
2025-09-13 03:00:00+05:30,115929.5,115929.5,115811.5,115811.5,17713,115930.33333333333,116002.41666666667,116131.72222222222,48.77546325084697
2025-09-13 03:15:00+05:30,115812.5,115851.0,115712.0,115823.0,25907,115854.66666666667,115975.91666666667,116066.88888888889,49.33671608044442
2025-09-13 03:30:00+05:30,115847.0,116065.0,115847.0,115984.5,10288,115873.0,115949.66666666667,116000.11111111111,56.97542089193875
2025-09-13 03:45:00+05:30,115981.5,116301.5,115981.5,116092.5,25312,115966.66666666667,115948.5,115990.5,61.45921889003972
2025-09-13 04:00:00+05:30,116092.5,116118.5,115857.5,115895.5,18688,115990.83333333333,115922.75,115980.88888888889,50.40363585083909
2025-09-13 04:15:00+05:30,115895.5,116012.0,115895.5,115984.0,8685,115990.66666666667,115931.83333333333,115963.33333333333,54.633753213598006
2025-09-13 04:30:00+05:30,115984.0,115984.0,115883.0,115932.0,7937,115937.16666666667,115951.91666666667,115944.72222222222,51.64728398453325
2025-09-13 04:45:00+05:30,115937.0,116090.0,115893.0,116054.0,7436,115990.0,115990.41666666667,115945.16666666667,57.88015532906755
2025-09-13 05:00:00+05:30,116045.0,116123.0,115992.0,116112.0,9154,116032.66666666667,116011.66666666667,115965.44444444444,60.66177720993455
2025-09-13 05:15:00+05:30,116111.0,116111.0,115973.0,115989.5,8513,116051.83333333333,115994.5,115985.22222222222,52.252237476450944
2025-09-13 05:30:00+05:30,116000.0,116083.5,115933.5,115979.0,19972,116026.83333333333,116008.41666666667,116002.55555555556,51.54551468915715
2025-09-13 05:45:00+05:30,115978.0,116090.0,115922.0,116034.0,8635,116000.83333333333,116016.75,116008.05555555556,55.2071430497726
2025-09-13 06:00:00+05:30,116024.0,116233.5,116012.5,116161.0,13839,116058.0,116054.91666666667,116015.66666666667,62.714242759860205
2025-09-13 06:15:00+05:30,116162.0,116257.5,116161.5,116166.5,10985,116120.5,116073.66666666667,116045.77777777778,63.02390718426908
2025-09-13 06:30:00+05:30,116167.5,116234.0,116116.5,116116.5,12409,116148.0,116074.41666666667,116060.5,57.97342838248744
2025-09-13 06:45:00+05:30,116116.5,116210.5,115959.0,115959.0,14492,116080.66666666667,116069.33333333333,116063.5,44.89667652245827
2025-09-13 07:00:00+05:30,115960.0,116022.0,115769.5,115812.5,30462,115962.66666666667,116041.58333333333,116036.66666666667,36.14608944277826
2025-09-13 07:15:00+05:30,115811.5,115855.5,115541.5,115715.5,53391,115829.0,115988.5,115992.61111111111,31.46137885459271
2025-09-13 07:30:00+05:30,115715.5,115927.0,115637.0,115927.0,36040,115818.33333333333,115949.5,115985.66666666667,48.31439379702256
2025-09-13 07:45:00+05:30,115927.0,115952.0,115881.5,115933.5,16082,115858.66666666667,115910.66666666667,115980.61111111111,48.76117235175764
2025-09-13 08:00:00+05:30,115933.0,115933.0,115840.0,115872.5,14923,115911.0,115870.0,115962.66666666667,44.58765940840135
2025-09-13 08:15:00+05:30,115856.5,115912.0,115803.5,115844.5,14262,115883.5,115850.91666666667,115927.5,42.65407022162778
2025-09-13 08:30:00+05:30,115843.5,115979.0,115832.0,115886.0,23389,115867.66666666667,115863.16666666667,115896.33333333333,46.61338381144065
